query,calls,avg_ms,total_ms,rows
"SELECT COUNT(*) AS ""_count$_all"" FROM (SELECT ""public"".""products"".""id"" FROM ""public"".""products"" WHERE (""public"".""product",322,1378.59,443907.19,322
"SELECT ""public"".""products"".""id"", ""public"".""products"".""name"", ""public"".""products"".""slug"", ""public"".""products"".""price"", ""p",857,484.54,415252.58,10284
"INSERT INTO orders (id, user_id, address_id, status, subtotal, tax, shipping_cost, total,
                    shipping_a",1,134.78,134.78,2000
"INSERT INTO orders (id, user_id, address_id, status, subtotal, tax, shipping_cost, total,
                    shipping_a",3,68.39,205.18,1500
UPDATE products SET stock = $1 WHERE stock < $2,1,33.45,33.45,0
DELETE FROM orders,1,18.64,18.64,3500
UPDATE carts SET status = $1,1,18.09,18.09,2162
"SELECT ""public"".""categories"".""id"", ""public"".""categories"".""name"", ""public"".""categories"".""slug"", ""public"".""categories"".""de",1,8.04,8.04,370
"SELECT COUNT(*) AS ""_count$_all"" FROM (SELECT ""public"".""products"".""id"" FROM ""public"".""products"" WHERE ""public"".""products",11,5.69,62.56,11
DELETE FROM users WHERE email LIKE $1,1,3.18,3.18,0
"SELECT
		current_database() datname,
		schemaname,
		relname,
		seq_scan,
		seq_tup_read,
		idx_scan,
		idx_tup_fetch,
	",324,3.06,991.75,3240
"DELETE FROM carts
  WHERE user_id IN (SELECT id FROM users WHERE email LIKE $1)",1,1.78,1.78,0
"SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name !=",324,1.52,493.10,83916
SELECT pg_database_size($1),1296,0.72,933.85,1296
DELETE FROM products WHERE name LIKE $1,1,0.70,0.70,0
"SELECT
		current_database() datname,
		schemaname,
		relname,
		heap_blks_read,
		heap_blks_hit,
		idx_blks_read,
		idx_",324,0.66,214.65,3240
"SELECT 
		  pg_database.datname as datname,
		  tmp.mode as mode,
		  COALESCE(count, $1) as count 
		FROM 
		  (
		    ",324,0.42,136.78,11664
"SELECT ""public"".""products"".""id"", ""public"".""products"".""name"", ""public"".""products"".""slug"", ""public"".""products"".""price"", ""p",2681,0.29,777.26,30540
"SELECT COUNT(*) FILTER (WHERE state=$1), COUNT(*) FILTER (WHERE state=$2)
    FROM pg_stat_activity WHERE datname=$3 AND",588,0.28,162.33,588
"SELECT ""public"".""products"".""id"", ""public"".""products"".""name"", ""public"".""products"".""slug"", ""public"".""products"".""price"", ""p",2515,0.27,686.53,28568
"SELECT ""public"".""products"".""id"", ""public"".""products"".""name"", ""public"".""products"".""slug"", ""public"".""products"".""price"", ""p",2625,0.26,685.37,29705
"SELECT ""public"".""products"".""id"", ""public"".""products"".""name"", ""public"".""products"".""slug"", ""public"".""products"".""price"", ""p",2649,0.26,683.84,29915
"SELECT
				pg_database.datname,
				tmp.state,
				tmp2.usename,
				tmp2.application_name,
				tmp2.backend_type,
				t",324,0.22,71.70,7801
"SELECT ""public"".""products"".""id"", ""public"".""products"".""name"", ""public"".""products"".""slug"", ""public"".""products"".""price"", ""p",519,0.20,102.92,6228
SELECT pg_stat_statements_reset(),1,0.16,0.16,1
